,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30
Top1,steel(498),material(329),oil(127),film(737),circuit(124),image(436),network(661),dc(388),system(842),flow(510),control(1160),electron(221),detection(340),channel(237),water(319),shell(88),analysis(329),sensor(286),cell(414),temperature(267),oxide(301),blood(123),layer(332),cell(329),water(191),antenna(596),learning(561),cell(458),redox(197),energy(512)
Top2,strength(451),electrode(301),emulsion(116),surface(452),noise(92),video(172),security(425),converter(363),time(483),analysis(351),vehicle(467),synthesis(210),sensor(290),mimo(153),change(301),mass(86),design(271),wave(209),activity(306),cu(250),powder(221),human(120),al(209),hydrogel(211),membrane(163),band(157),network(469),fuel(329),flow(181),power(298)
Top3,strain(377),carbon(272),content(114),layer(407),integrated(83),camera(127),system(362),power(351),power(308),structure(268),system(355),nanoparticles(183),chemosensor(222),system(150),rainfall(243),jet(72),service(233),wireless(205),protein(303),particle(243),alloy(215),male(108),aln(155),drug(205),carbon(126),frequency(132),algorithm(434),catalyst(297),membrane(167),willingness(225)
Top4,specimen(303),printing(190),activity(109),thin(314),design(60),color(125),smart(355),voltage(317),real(247),element(267),grid(332),spectroscopy(177),fluorescence(191),multiple(144),climate(228),chain(56),research(213),power(140),extract(298),ag(224),property(159),adult(108),atomic(131),tissue(180),surface(118),transparent(92),detection(314),reaction(259),battery(156),valuation(211)
Top5,stress(302),stability(177),food(109),process(292),ic(60),point(102),iot(340),phase(176),reliability(176),design(245),power(243),microscopy(166),cu(186),scheme(108),drought(177),acid(55),technology(187),transfer(138),effect(278),copper(104),sintering(111),female(99),interface(124),walking(118),treatment(118),ghz(87),neural(249),glucose(232),vanadium(103),public(170)
Top6,concrete(282),electrochemical(176),antioxidant(106),temperature(272),cmos(58),system(99),computing(329),circuit(113),memory(174),pressure(229),controller(242),zno(158),zn(180),waterproofing(82),analysis(171),dark(51),factor(157),motion(133),drug(161),hydrogen(99),particle(107),group(98),deposition(114),robot(111),removal(115),radiation(75),deep(248),carbon(231),efficiency(97),emission(165)
Top7,tensile(278),ion(169),characteristic(77),deposition(264),damage(58),algorithm(92),internet(297),electric(107),cost(162),track(224),simulation(240),ray(154),fluorescent(171),signal(79),precipitation(139),one(44),effect(151),energy(125),expression(152),bonding(86),temperature(107),level(92),gan(99),delivery(105),adsorption(110),mm(74),machine(191),cnt(159),cycle(69),renewable(165)
Top8,crack(264),composite(168),concentration(71),plasma(205),charge(56),imaging(83),device(292),switch(107),operation(156),numerical(220),torque(197),scanning(142),ion(164),indoor(79),trend(126),energy(43),risk(149),system(124),fraction(149),coated(84),film(103),controlled(84),voltage(92),acid(92),organic(94),bandwidth(70),prediction(176),gox(154),electrolyte(67),generation(164)
Top9,material(223),lithium(167),extraction(64),substrate(201),amplifier(54),object(75),communication(276),switching(102),device(136),finite(218),load(179),tio(127),water(158),complexity(74),temperature(118),author(43),development(143),signal(115),acid(147),silver(82),dispersion(97),aged(74),density(90),animal(89),pb(92),array(67),feature(170),nanotube(151),acid(65),electricity(162)
Top10,analysis(207),battery(148),higher(62),metal(200),neural(52),clustering(74),technology(261),output(100),hardware(126),heat(193),electric(178),structure(126),limit(158),error(72),region(103),particle(43),safety(143),virtual(113),human(139),resistance(75),starch(90),exposure(74),property(82),engineering(88),chemical(90),ultra(67),set(164),density(149),capacity(65),cost(162)
