,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40
0,hydrogel,physical,fluorescence,wind,antenna,steel,ag,force,expression,soil,matching,grid,alloy,emission,seismic,feeding,catalyst,mr,adsorbent,cloud,neural,membrane,plane,front,ultrasonic,security,chitosan,mo,safety,filtration,zno,photovoltaic,noise,projection,imaging,laser,optimization,aging,anchor,hydrogen
1,polymer,weight,nuclear,wheel,ultra,specimen,mesh,robot,protein,deformation,line,controller,powder,distance,acceleration,mold,pt,vascular,solution,social,deep,glucose,memory,angle,willingness,smart,skin,electrode,sex,removal,nrs,transparent,camera,cmip,tissue,light,wireless,mouse,deposition,fe
2,ldh,growth,shortage,production,bandwidth,strain,local,walking,animal,underground,point,converter,al,topological,motion,open,array,cu,weld,health,light,installation,smoothing,steering,beam,iot,antibacterial,battery,risk,pollutant,heat,light,amplifier,cm,magnetic,angle,hybrid,male,thin,catalysis
3,ga,psychological,chemosensor,economic,monopole,tensile,board,foot,gene,tunnel,vector,loop,w,door,length,flat,step,smooth,adsorption,semantic,bim,velocity,motor,rear,wtp,architecture,correlation,electrochemical,market,runoff,s,optical,user,precipitation,organ,pattern,antioxidant,female,dielectric,product
4,double,self,fluorescent,supply,nanorods,column,shell,balance,drug,tg,healthcare,filter,die,scale,software,fed,impedance,compliance,austenitic,mobile,particulate,storm,inverter,moment,valuation,digital,industry,fuel,natural,printing,spectroscopy,module,object,climate,nano,proper,node,environmental,atomic,bi
5,ray,student,cu,np,band,grain,path,vertical,ester,photogrammetry,crack,inverter,summer,gas,ground,space,scan,bonding,newtonian,public,color,floating,block,yaw,household,blockchain,asymmetric,composite,investment,micro,cancer,salt,neural,rcp,biomaterials,compression,oil,disease,interface,organic
6,hydrothermal,international,colorimetric,slip,ground,fracture,education,cardiovascular,transcription,embryo,dissolved,dc,sintering,given,wave,larva,piezoelectric,pricing,derived,travel,lighting,head,rotor,driving,steel,internet,tree,electrolyte,awareness,waste,microscopy,driven,programmable,pathway,regeneration,bending,fuel,muscle,infrared,oxidation
7,spectroscopy,middle,sensing,renewable,microwave,microstructure,tax,hybrid,chain,dispersive,pipe,connected,forming,gauge,height,ca,least,copper,mg,attack,wall,gox,torque,vehicle,public,thing,sand,nanoparticles,gas,glass,infrared,pv,end,historical,printing,fiber,storage,receptor,curvature,iron
8,microscopy,benefit,zn,capability,hap,composite,element,moment,p,zebrafish,map,lcl,mixture,air,elastic,hollow,multifunctional,opportunity,defect,industry,machine,nanotube,cut,wi,specimen,privacy,consumption,doped,return,road,transform,sector,ic,rate,biological,substrate,engine,age,ald,spectroscopic
9,alginate,perceived,calculation,price,hydroxyapatite,equation,company,velocity,mouse,six,filtering,turbine,seasonal,feature,road,rainfall,square,redox,tube,interest,artificial,cnt,stacking,lateral,nondestructive,secure,agent,stock,cluster,foam,ray,building,lidar,indicator,resonance,microbial,rail,stiffness,growth,tio
