,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30
Top1,surface(293),water(331),effect(148),hydrogel(210),optimization(236),cu(443),robot(265),al(223),railway(230),crack(261),sensor(269),steel(329),catalyst(295),grid(343),film(807),strength(390),antioxidant(116),color(136),service(226),power(643),energy(483),cell(538),sensor(149),membrane(96),antenna(606),surface(211),security(423),algorithm(427),ground(144),blood(121)
Top2,laser(178),rainfall(244),ethyl(95),cell(208),algorithm(145),bonding(223),torque(184),aln(155),track(229),heat(236),chemosensor(222),alloy(288),glucose(240),controller(197),oxide(477),material(245),content(114),light(114),safety(168),dc(388),power(303),protein(358),printing(132),jet(71),wave(235),adsorption(211),iot(340),image(416),fuel(125),human(113)
Top3,micro(129),climate(216),cell(89),drug(181),mesh(128),ag(220),motor(156),atomic(141),speed(149),pipe(230),fluorescence(213),temperature(239),cell(229),inverter(188),electrode(329),property(141),skin(78),mdpi(76),oil(153),converter(363),willingness(224),expression(180),wearable(119),steering(71),signal(168),synthesis(180),smart(340),neural(242),image(94),adult(107)
Top4,mold(111),drought(178),antioxidant(85),tissue(172),numerical(113),temperature(195),virtual(149),interface(141),train(118),temperature(210),cu(181),strain(227),redox(216),power(186),temperature(312),steel(129),liposome(73),licensee(72),use(122),voltage(322),valuation(211),effect(174),light(78),imaging(70),wireless(167),nanoparticles(176),internet(298),deep(213),engine(77),physical(106)
Top5,polymer(110),precipitation(138),acetate(77),acid(144),simulation(110),copper(186),walking(124),barrier(113),rail(115),thermal(205),zn(179),microstructure(199),carbon(201),state(171),electrochemical(291),composite(128),food(70),switzerland(72),public(119),circuit(238),cost(194),human(139),textile(75),force(69),band(158),water(168),thing(236),video(196),driving(74),male(106)
Top6,fabrication(106),temperature(117),antimicrobial(71),engineering(96),shell(95),particle(179),motion(114),deposition(100),wall(84),fatigue(146),fluorescent(173),specimen(187),nanotube(185),voltage(167),carbon(278),specimen(105),higher(58),basel(71),risk(116),electric(223),public(182),drug(135),conductive(71),mass(63),mimo(152),particle(165),service(231),machine(175),line(65),female(95)
Top7,metal(101),management(95),ml(69),ph(84),springer(69),surface(139),sensor(88),gan(100),operation(76),pressure(143),ion(156),powder(182),membrane(168),connected(130),cell(267),reinforced(104),acid(53),led(61),emulsion(116),energy(171),emission(170),animal(103),manufacturing(70),dark(51),power(146),size(152),architecture(227),object(167),pile(65),health(86)
Top8,die(93),gcms(69),membrane(66),property(79),computational(62),plasma(120),underwater(83),state(85),right(76),strain(114),water(155),tensile(179),cnt(163),filter(130),material(262),fiber(102),lipid(49),landfill(46),effect(113),memory(160),renewable(165),acid(101),electrode(65),society(43),noise(119),carbon(148),mobile(225),user(165),injector(56),risk(75)
Top9,material(92),projection(68),acid(59),lens(63),square(60),silver(87),speed(81),semiconductor(83),society(75),cooling(109),limit(153),property(166),gox(154),simulation(111),thin(260),mechanical(91),flavonoid(47),partition(43),management(111),switching(126),wtp(162),inflammatory(92),camera(65),qq(42),bandwidth(94),acid(146),blockchain(203),social(105),injection(50),body(74)
Top10,ultrasonic(91),station(61),protective(57),scaffold(54),fluid(52),coated(77),reality(73),voltage(81),reserved(73),fracture(108),sensing(153),size(141),acid(139),observer(96),deposition(257),joint(91),drying(46),hybrid(40),education(104),storage(123),electricity(161),gene(89),optical(62),wheel(41),mm(93),material(136),attack(194),indoor(84),spray(45),aged(69)
